index,text,true_codes,pred_codes,missing,extra,confidence
370,"гражданско-правовой договор № 03722002245220000230001/смп идентификационный код закупки: 222780407863478040100100340012219244 город санкт-петербурга\ « » ноября 2022г. государственное бюджетное учреждение дополнительного образования «центр развития творчества научно-технических инициатив детей молодежи» калининского района санкт-петербурга, лице директора зотовой валерии александровной, действующе...",['22'],[],['22'],[],0.3531845808029175
371,"поставщик обязуется передать заказчику обусловленный контрактом срок, заказчик обязуется принять оплатить товар, перечисленный приложении контракту «сведения объектах закупки» (далее - товар), порядке соответствии условиями, предусмотренными контрактом. идентификационный код закупки – икз:222502205220250220100102500012120244. комплектность, технические, функциональные качественные характеристики, ...",['21'],[],['21'],[],0.3774019777774811
372,". . предметом контракта является поставка инструментов приспособлений стоматологических (льготное зубопротезирование) (далее - товар) для нужд заказчика соответствии описанием объекта закупки (приложение № контракту) условиях, предусмотренных контрактом. идентификационный код закупки: 222543110401054310100103420013250323 . . поставка товара осуществляется поставщиком соответствии законодательством...",['32'],['21'],['32'],['21'],0.7906727194786072
379,". . настоящему контракту исполнитель обязуется оказать услуги техническому осмотру, проверке, очистке дезинфекции вентиляционных каналов (далее – услуги) соответствии расчетом стоимости услуг (приложение № контракту) соответствии техническим заданием (приложение № контракту), являющейся неотъемлемой частью настоящего контракта, заказчик обязуется принять оплатить надлежаще оказанные услуги. .",['33'],['81'],['33'],['81'],0.638800859451294
380,". . поставщик обязуется поставить мягкий инвентарь (далее - товар) буз «лискинская » сроки, обусловленные настоящим контрактом, сумму 349297 рублей копеек (триста сорок девять тысяч двести девяносто семь рублей копеек): заказчик обеспечивает оплату товара счет следующих средств: направление: мягкий инвентарь. .",['31'],"['13', '14']",['31'],"['13', '14']",0.6386196613311768
381,") . . исполнитель обязуется поставить, установить внедрить автоматизированную информационную систему планирования бюджетных ассигнований участников системы омс для нужд тфомс ( ) (приложение № ), заказчик обязуется принять оплатить оказанные услуги порядке условиях контракта. идентификационный код закупки: 222143503563514350100100670016203244 наименование услуги, объем услуг, единица измерения,",['62'],['43'],['62'],['43'],0.6021401882171631
385,". . исполнитель обязуется оказать услуги предоставлению неисключительного права использования электронной базы данных (простая неисключительная лицензия) (далее – услуги), заказчик обязуется создать исполнителю необходимые условия для оказания услуг, принять результат оплатить обусловленную настоящим контрактом цену. . . объем услуг, оказываемых исполнителем, требования оказываемым услугам, требов...",['63'],['58'],['63'],['58'],0.8686444759368896
386,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку товара соответствии спецификацией (приложение № контракту) надлежащим образом оказать услуги доставке разгрузке товара, заказчик обязуется порядке сроки, предусмотренные контрактом, принять оплатить поставленный товар. . . номенклатура товара, его количество, также качественные, функцион...",['27'],[],['27'],[],0.493081271648407
389,". . поставщик обязуется передать собственность бакалейную продукцию (далее - товар) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение № настоящему контракту) техническому заданию (приложение № настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование количество поставляемого товара ук...","['01', '10']",['10'],['01'],[],0.8855305910110474
390,". . арендодатель предоставляет государственному заказчику транспортные средства плату временное владение пользование оказывает своими силами услуги управлению ими технической эксплуатации (далее – услуга), государственный заказчик обязуется принять оказанные услуги оплатить . . . срок оказания услуг: ежедневно октября 2022 года « » декабря 2022 года включительно ( соответствии требованиями подпунк...",['49'],['18'],['49'],['18'],0.7345280647277832
395,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку изделий приспособлений, применяемых медицинских целях № (икз: 221645200647164520100107890020000244) (далее - товар) соответствии спецификацией (приложение № контракту), заказчик обязуется порядке сроки, предусмотренные контрактом, принять оплатить поставленный товар. . . поставка товара ...","['21', '32']",['21'],['32'],[],0.6750191450119019
396,". . предмет контракта: поставка канцелярских товаров. поставщик обязуется поставить товар соответствии спецификацией (приложение контракту) (далее – товар) технической частью (приложение контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных контрактом. . . при исполнении контракта согласованию заказчика поставщиком допускается поставка товара, качество, технически...","['20', '22', '17']",['17'],"['20', '22']",[],0.6875991225242615
400,". . настоящему контракту поставщик обязуется поставить заказчику товар, указанный пункте . настоящего контракта, заказчик обязуется принять товар оплатить. .",['28'],[],['28'],[],0.3447875678539276
402,". . соответствии настоящим контрактом заказчик поручает, исполнитель принимает себя обязательства оказать услуги содержанию текущему ремонту уличного освещения муниципального образования город новый уренгой, соответствии техническим заданием (приложение № ). .",['43'],[],['43'],[],0.4519120454788208
415,"общие условия . . поставщик осуществляет соответствии спецификацией (приложение контракту) поставку заказчику канцелярских принадлежностей (ручки, карандаши, маркеры, календари, стирательные резинки, клей) (далее – товар), заказчик принимает оплачивает поставленный товар порядке условиях, предусмотренных настоящим контрактом. .","['20', '22', '58', '32']",['32'],"['20', '22', '58']",[],0.578704833984375
416,". . настоящему контракту исполнитель обязуется оказать ремонту медицинской техники заменой запасных частей для обеспечения нужд ставропольского края (далее – услуги, медицинская техника, оборудование) соответствии приложением № контракту, являющимся неотъемлемой его частью, заказчик обязуется принять оплатить оказанные услуги условиях предусмотренных настоящим контрактом. . . оказание услуг должно...","['33', '27']",['33'],['27'],[],0.9990668296813965
426,". . поставщик обязуется передать заказчику товар, указанный . . настоящего контракта, соответствии условиями контракта, заказчик обязуется принять оплатить поставляемый товар. . . предметом контракта является поставка инвентаря для уборки (далее – товар). . . количество, ассортимент, характеристики,",['32'],[],['32'],[],0.3766322731971741
428,"исполнитель обязуется обусловленные контрактом сроки оказать заказчику услуги , перечисленные приложении контракту «сведения объектах закупки» (далее – услуги), заказчик обязуется принять оплатить услуги, порядке соответствии условиями, предусмотренными контрактом. идентификационный код закупки – икз: 222504506167650270100100080019329244. перечень объем услуг, подлежащих оказанию, требования качес...",['93'],[],['93'],[],0.28514277935028076
429,". . подрядчик обязуется выполнить работы сохранению объекта культурного наследия регионального значения (памятника истории культуры) «дворец искусств (театральный комплекс)», расположенного адресу: 153000, . иваново, . пушкина, . , части приспособления объекта для современного использования (капитальный ремонт части кровли), заказчик обязуется принять оплатить . . . конкретные объемы виды необходи...",['43'],['41'],['43'],['41'],0.5568826198577881
433,". соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку медицинских изделий - реагентов расходных материалов для лабораторной диагностики(код окпд - . . .110, . . .111, . . .199) (далее - оборудование) соответствии спецификацией (приложение № контракту) надлежащим образом оказать услуги доставке, разгрузке оборудования (далее - услуги), заказчи...","['20', '21']",['21'],['20'],[],0.8355496525764465
435,"гражданско-правового договора № / - / (05481000052220000050001) поставка посадочных материалов для цветоводства . байконур « » марта 2022 . государственное унитарное предприятие «жилищное хозяйство» (далее гуп ), именуемое дальнейшем «заказчик», лице генерального директора осипяна александра робертовича действующего основании распоряжения главы администрации . байконур . .2020 . № / / -195, одной ...","['20', '21']",[],"['20', '21']",[],0.20758244395256042
437,"муниципальный контракт поставка канцелярских товаров для нужд администрации усть-катавского городского округа икз: 223741900069074570100100590030000244 . усть-катав «_____» ___________2022 . администрация усть-катавского городского округа имени муниципального образования «усть-катавский городской округ» лице главы городского округа семкова сергея диодоровича, действующего основании устава усть-кат...",['25'],['17'],['25'],['17'],0.6580995321273804
440,". . заказчик поручает, исполнитель принимает себя обязательство оказание услуг производству цикла радиопередач, направленных сохранение, изучение развитие государственных языков республики татарстан других языков республике татарстан (далее – «услуги»), заказчик обязуется принять оплатить услуги. . . требования, предъявляемые услугам, наименованию, количеству, содержанию, срокам другие условия исп...",['59'],[],['59'],[],0.3646937906742096
444,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку медицинских изделий (наконечники) (далее – оборудование, медицинское изделие) соответствии спецификацией (приложение № контракту) надлежащим образом его доставку, разгрузку, государственный заказчик обязуется порядке сроки, предусмотренные контрактом, принять оплатить поставленное оборуд...",['22'],['32'],['22'],['32'],0.8840590715408325
452,". . заказчик поручает, подрядчик принимает себя обязательства выполнить работы строительству объекта капитального строительства «кладбище традиционного захоронения районе . . нивский» (далее – работы, объект) сроки, предусмотренные контрактом, соответствии прилагаемыми настоящему контракту техническим заданием (приложение № муниципальному контракту), графиком выполнения строительно-монтажных работ...",['43'],[],['43'],[],0.21413502097129822
455,". . поставщик обязуется передать собственность продукты питания (далее - товар) заказчику обусловленный настоящим контрактом срок, согласно спецификации (приложение настоящему контракту), техническому заданию (приложение настоящему контракту), заказчик обязуется принять оплатить товар порядке условиях, предусмотренных настоящим контрактом. . . наименование поставляемого товара указаны спецификации...",['01'],['10'],['01'],['10'],0.8590553402900696
456,". . поставщик обязуется поставить передать заказчику тауролидиновый раствор наименованиям, количестве, ассортименте качества согласно спецификации (приложение № ) (далее - товар), срок согласно разделу контракта, заказчик обязуется принять товар обеспечить его оплату. . . поставщик гарантирует качество безопасность поставляемого товара соответствии требованиями контракта, также соответствии технич...",['32'],['21'],['32'],['21'],0.8004866242408752
458,". . поставщик обязуется согласно спецификации (приложение контракту) основании заявки заказчика (приложение № контракту) порядке, предусмотренном контрактом, осуществлять поставку расходных материалов для патологоанатомического отделения (далее – товар) срок, указанный разделе контракта, заказчик обязуется принять оплатить поставленный товар. . . товар должен быть пригоден для целей, указанных кон...",['21'],['32'],['21'],['32'],0.5134925842285156
461,". . соответствии настоящим контрактом подрядчик обязуется выполнить капитальный ремонт сооружения-плотины ( реке большая калиновка) . троицкое богдановичского района свердловской области срок, установленный настоящим контрактом, основании проектной рабочей документации (шифр 186817- - / ) соответствии требованиями описания объекта закупки (приложение № настоящему контракту), локальных сметных расч...",['42'],['41'],['42'],['41'],0.6806948184967041
463,"государственный контракт № 22401.9990092002. . оказание услуг «экспертно-аналитическое сопровождение разработки отраслевой программы «применение вторичных ресурсов вторичного сырья отходов промышленном производстве», шифр «вторсырье» (идентификационный код закупки № 221770559633977030100100010197490244) . москва «____» ___________ 20___ . министерство промышленности торговли российской федерации, ...",['74'],[],['74'],[],0.2451847791671753
464,". заказчик поручает, подрядчик обязуется выполнить работы строительству памятного знака «населенный пункт воинской доблести» . тербуны тербунского района (далее – объект) соответствии проектной документацией, приложениями № -№ контракту, градостроительным кодексом российской федерации, техническими регламентами, строительными нормами правилами. . . результатом выполненной работы контракту, предмет...",['43'],['42'],['43'],['42'],0.9994099140167236
475,"поставщик обязуется передать заказчику обусловленный контрактом срок, заказчик обязуется принять оплатить товар, указанный приложении контракту «сведения объектах закупки» (далее - товар), порядке соответствии условиями, предусмотренными контрактом. идентификационный код закупки – икз:223503807992250380100101360010000244. комплектность, технические, функциональные качественные характеристики, коли...",['19'],[],['19'],[],0.2551877200603485
476,". . отношениям сторон настоящему контракту применяются требования гражданского законодательства, федерального закона . .2013 - \",['26'],['19'],['26'],['19'],0.9984968304634094
477,". исполнитель обязуется заданию заказчика оказать услуги техническому обслуживанию системы видеонаблюдения скуд (далее - услуги) объеме, установленном техническом задании (приложение № контракту, являющееся его неотъемлемой частью) (далее - техническое задание), заказчик обязуется принять результат оказанных услуг оплатить его порядке условиях, предусмотренных контрактом. . идентификационный код з...",['80'],[],['80'],[],0.1876775622367859
485,". . исполнитель обязуется заданию заказчика порядке срок, указанный настоящем контракте, оказать услуги техническому обслуживанию средств охраны филиала «южная психиатрическая больница» (адрес: свердловская область, . каменск-уральский, . октябрьская, ) (далее – услуги), содержание, объем,",['33'],[],['33'],[],0.4941782057285309
488,". . исполнитель оказывает заказчику услуги транспортировке пациентов заказчика обще- профильной фельдшерской врачебной бригадами, осуществляет выезд психиатрической бригады скорой медицинской помощи для оказания услуг консультаций, далее именуемые «транспортировка», «выезд», либо «услуги», согласно техническому заданию (приложение № контракту), заказчик обязуется принять оплатить указанные услуги ...",['86'],[],['86'],[],0.46144434809684753
489,", срок, место условия выполнения работ . . подрядчик заданию заказчика обязуется выполнить работы объединению переносу систем автоматической пожарной сигнализации, охранно-тревожной сигнализации видеонаблюдения (далее – работы) соответствии условиями контракта, локальным сметным расчетом (приложение № контракту), техническим заданием (приложение № контракту). . . заказчик обязуется принять обеспеч...",['33'],[],['33'],[],0.4867199659347534
493,". . соответствии контрактом поставщик обязуется порядке сроки, предусмотренные контрактом, осуществить поставку хозяйственных товаров (далее – товар) соответствии спецификацией (приложение № контракту), государственный заказчик обязуется порядке сроки, предусмотренные контрактом, принять оплатить поставленный товар. . . номенклатура товара его количество определяются спецификацией (приложение № ко...",['17'],[],['17'],[],0.45055660605430603
495,"поставщик обязуется передать заказчику обусловленный контрактом срок, заказчик обязуется принять оплатить товар, перечисленный приложении контракту «сведения объектах закупки» (далее - товар), порядке соответствии условиями, предусмотренными контрактом. идентификационный код закупки – икз:223500708870150070100100310012740244. комплектность, технические, функциональные качественные характеристики, ...",['27'],[],['27'],[],0.19007684290409088
